Name,CLIENTS,BALANCED CLIENTS,Picture,Total Revenue,Payment for clients total,Total Ajustes,VENDOR,Type,SUM Due Balanced,SUM Partial Balanced,SUM On time Balanced,SUM Pre Paid Balanced,Credit Limit (from Client list Link),Credit Avalible,SUM Final due balance,INTRA per Client,Balanced + Intra,Debt,Debt INTRA,Frozen Balanced Clients,Active clients,Cashflow,Payments in Transit
OLEUMV,,$280009.96,,$280009.96,$0.00,$0.00,OLEUMV,Vendor,$0.00,$0.00,$0.00,$0.00,,-$280009.96,$0.00,,$280009.96,Debt,Debt,$280009.96,,,$0.00
PETROJAF VENDOR,,$95275.34,,$95275.34,$0.00,$0.00,PETROJAF Vendor,Vendor,$0.00,$0.00,$0.00,$0.00,,-$95275.34,$0.00,,$95275.34,Debt,Debt,$95275.34,,,$0.00
SERV ENERGY,,$31247598.10,image (23).png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/z3xoyMw0ayQjpPoD0qreig/0ZX606haiYvwYKfUU1xWphlnrnYP4zl_XwldCaswgCIkNlhIMJE_M1u9R9O3Z_Qt2Z0v1PsymbyhI6PmCliewsFkTnuV3xogUG1Gc2J6wscc2hNZCzUAyGOW1hC24-Rqm009e7SckTOzZpDUHxgnYS8eYfhMHYCECtlAGISZ3OA/ljcebDOY7TZGQW4kJ4wR1-gSIOPPSzKcIoBr2NL1HRM),$31247598.10,$0.00,$0.00,SERV ENERGY,Vendor,$0.00,$0.00,$0.00,$0.00,,-$31247598.10,$0.00,,$31247598.10,Debt,Debt,$30338117.12,,1/15/2025,$0.00
STFH,,$0.00,,$0.00,$0.00,$0.00,STFH,Vendor,$0.00,$0.00,$0.00,$0.00,,$0.00,$0.00,,$0.00,To pay,To pay,$0.00,,,$0.00
TARGA,,$44290.44,,$44290.44,$0.00,$0.00,TARGA,Vendor,$0.00,$0.00,$0.00,$0.00,,-$44290.44,$0.00,,$44290.44,Debt,Debt,$44290.44,,,$0.00
TARTAN,,$120877168.32,,$120877168.32,$0.00,$0.00,TARTAN,Vendor,$0.00,$0.00,$0.00,$0.00,,-$120877168.32,$0.00,,$120877168.32,Debt,Debt,$120877168.32,,,$0.00
TRITON ,,$34500200.35,,$34500200.35,$0.00,$0.00,TRITON,Vendor,$0.00,$0.00,$0.00,$0.00,,-$34500200.35,$0.00,,$34500200.35,Debt,Debt,$34500200.35,,,$0.00
TITAN,TITAN,$11396087.16,Logos vendors.png (https://v5.airtableusercontent.com/v3/u/53/53/1778220000000/bt6RXRjiHoUYpRjKsQvxzg/nlJi2VFv6oOi94Moil81DRdL35DCeQ2MQpvkxIGBQ0lIVs6PldT77Dz9Yfkq5J0qAWijT54HGxySRJctbCbl6gFjgRwsNoJN0kmWLKaGkwupgVyK5pxhyU2UMjWhQpk6qmskjdEIVAG12_0NQffOfH74QPvkJrI1MHODleizftc/8Bl8ux_cacrD8czWx3bQW2txFPVaWf_6ld40QGGsE9A),$11396087.16,$0.00,$0.00,TITAN,Vendor,$0.00,$0.00,$0.00,$0.00,,-$11396087.16,$0.00,,$11396087.16,Debt,Debt,$715372.61,,1/15/2025,$0.00
RIDE ON TIME,,$11812319.09,,$11812319.09,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$11812319.09,$0.00,,$11812319.09,Debt,Debt,$11812319.09,,,$0.00
LETZ GO,,$2857412.40,,$2857412.40,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$2857412.40,$0.00,,$2857412.40,Debt,Debt,$2857412.40,,,$0.00
PBR,,$3329067.41,,$3329067.41,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$3329067.41,$0.00,,$3329067.41,Debt,Debt,$3329067.41,,,$0.00
ONE FIVE,,$6639906.45,,$6639906.45,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$6639906.45,$0.00,,$6639906.45,Debt,Debt,$6639906.45,,,$0.00
FIMS,,$135617.41,,$135617.41,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$135617.41,$0.00,,$135617.41,Debt,Debt,$135617.41,,,$0.00
LOGISTICS,,$16354891.96,,$16354891.96,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$16354891.96,$0.00,,$16354891.96,Debt,Debt,$16334866.14,,,$0.00
BTO,,$1782605.99,,$1782605.99,$0.00,$0.00,,Freight,$0.00,$0.00,$0.00,$0.00,,-$1782605.99,$0.00,,$1782605.99,Debt,Debt,$1782605.99,,,$0.00
